,,cycb,rb,cyca,cdc20,cdh1,ubch10,e2f,cycd,p27,cyce
p1,0,1,1,0,0,0,1,0,1,0,0
p1,1,1,0,0,1,0,1,0,1,0,0
p1,2,0,0,0,1,1,1,0,1,0,0
p1,3,0,0,0,0,1,1,1,1,0,0
p2,0,1,1,1,0,1,1,0,0,0,0
p2,1,0,0,0,1,0,1,0,0,0,0
p2,2,0,1,0,0,1,1,1,0,1,0
p2,3,0,1,0,0,1,0,0,0,1,0
p3,0,1,1,1,1,1,1,1,1,1,1
p3,1,0,0,0,1,1,1,0,1,0,0
p3,2,0,0,0,0,1,1,1,1,0,0
p3,3,0,0,0,0,1,0,1,1,0,1
