,start,cdc2_cdc13,pp,cdc25,ste9,rum1,slp1,wee1_mik1,cdc2_cdc13_a,sk
p1,0,0,0,1,0,1,0,0,0,0
p2,0,0,0,0,0,1,0,0,0,0
p3,0,0,0,1,0,1,0,1,0,0
p4,0,0,0,0,0,1,0,1,0,0
p5,0,0,0,0,1,1,0,0,0,0
p6,0,0,0,0,1,1,0,1,0,0
p7,0,0,0,1,1,1,0,0,0,0
p8,0,0,0,1,1,1,0,1,0,0
p9,0,0,0,0,1,0,0,0,0,0
p10,0,0,0,1,1,0,0,0,0,0
p11,0,0,0,0,1,0,0,1,0,0
p12,0,0,0,1,1,0,0,1,0,0
